reviewer;paper
Frédéric Loulergue;Exchange of Geometric Information Between Applications.
Arash Shaban-Nejad;Exchange of Geometric Information Between Applications.
Luis Corral;Properties of Exercise Strategies
Wei He 0001;Properties of Exercise Strategies
Ron W. Daniel;Properties of Exercise Strategies
Jose Gonzalez-Mora;Finite Model Reasoning in Expressive Fragments of First-Order Logic.
Wojciech Bozejko;Finite Model Reasoning in Expressive Fragments of First-Order Logic.
Tieshi Zhao;Finite Model Reasoning in Expressive Fragments of First-Order Logic.
Gabriel Gorghiu;A Hybrid Quantum-Classical Paradigm to Mitigate Embedding Costs in Quantum Annealing - Abridged Version.
Jochen Hemming;A Hybrid Quantum-Classical Paradigm to Mitigate Embedding Costs in Quantum Annealing - Abridged Version.
Lu Chen;A Hybrid Quantum-Classical Paradigm to Mitigate Embedding Costs in Quantum Annealing - Abridged Version.
G. Clark Haynes;F-IDEs with Features and VCs Designed to Assist Human Reasoning When Verification Fails.
Steen Rasmussen;F-IDEs with Features and VCs Designed to Assist Human Reasoning When Verification Fails.
Sangjin Pyo;F-IDEs with Features and VCs Designed to Assist Human Reasoning When Verification Fails.
Bas Westerbaan;Almost Linear Büchi Automata
Richard Tran Mills;Almost Linear Büchi Automata
Gordon J. Pace;Almost Linear Büchi Automata
Shengjie Zhao;Using Video Game Development to Motivate Program Design and Algebra Among Inner-City High School Students.
David Pardo;Using Video Game Development to Motivate Program Design and Algebra Among Inner-City High School Students.
Jesse van den Kieboom;Using Video Game Development to Motivate Program Design and Algebra Among Inner-City High School Students.
Sebastian Krings;Session-Based Programming for Parallel Algorithms: Expressiveness and Performance
Jungwook Han;Session-Based Programming for Parallel Algorithms: Expressiveness and Performance
Ze Jiang;Session-Based Programming for Parallel Algorithms: Expressiveness and Performance
Claudio Rossi 0001;Blind-date Conversation Joining.
Simone Bacellar Leal Ferreira;Blind-date Conversation Joining.
David Safránek;Blind-date Conversation Joining.
Bernhard Rinner;Reducing Nondeterministic Tree Automata by Adding Transitions.
Christoph Pflaum;Reducing Nondeterministic Tree Automata by Adding Transitions.
Luis Corral;Reducing Nondeterministic Tree Automata by Adding Transitions.
Alessandro Farinelli;Effortless Fault Localisation: Conformance Testing of Real-Time Systems in Ecdar.
Angela P. Schoellig;Effortless Fault Localisation: Conformance Testing of Real-Time Systems in Ecdar.
Nicola Gigante;Effortless Fault Localisation: Conformance Testing of Real-Time Systems in Ecdar.
Nicky Penhall;Analysing the Performance of GPU Hash Tables for State Space Exploration.
Yang Gao 0002;Analysing the Performance of GPU Hash Tables for State Space Exploration.
Gerald Steinmaurer;Analysing the Performance of GPU Hash Tables for State Space Exploration.
Eva Sciacca;How to Handle Assumptions in Synthesis.
Hasan Güler;How to Handle Assumptions in Synthesis.
Artur Jachimowicz;How to Handle Assumptions in Synthesis.
Yanwu Zhang;A Formal Model For Real-Time Parallel Computation
Philippe Xu;A Formal Model For Real-Time Parallel Computation
Driss Aboutajdine;A Formal Model For Real-Time Parallel Computation
Laura Monica Gorghiu;A Process Calculus for Molecular Interaction Maps
Lucia Pallottino;A Process Calculus for Molecular Interaction Maps
Gregory S. Chirikjian;A Process Calculus for Molecular Interaction Maps
Adam Belloum;The 3rd Reactive Synthesis Competition (SYNTCOMP 2016): Benchmarks, Participants & Results.
Andreas Gruber;The 3rd Reactive Synthesis Competition (SYNTCOMP 2016): Benchmarks, Participants & Results.
Jan Quenzel;The 3rd Reactive Synthesis Competition (SYNTCOMP 2016): Benchmarks, Participants & Results.
Driss Aboutajdine;A Theorem Prover for Scientific and Educational Purposes.
Simon Pearson;A Theorem Prover for Scientific and Educational Purposes.
Gürsel Serpen;A Theorem Prover for Scientific and Educational Purposes.
Arul Selvam Periyasamy;A Benchmark on Reliability of Complex Discrete Systems: Emergency Power Supply of a Nuclear Power Plant.
Cédric Pradalier;A Benchmark on Reliability of Complex Discrete Systems: Emergency Power Supply of a Nuclear Power Plant.
Jana Fabriková;A Benchmark on Reliability of Complex Discrete Systems: Emergency Power Supply of a Nuclear Power Plant.
Padmavathi Kora;Synthesizing Robust Systems with RATSY
Shehryar Khattak;Synthesizing Robust Systems with RATSY
Ornela Dardha;Synthesizing Robust Systems with RATSY
Grzegorz Cielniak;Automated Verification of Quantum Protocols using MCMAS
Ulrich Schmid 0001;Automated Verification of Quantum Protocols using MCMAS
Simon Lynen;Automated Verification of Quantum Protocols using MCMAS
Varvara Bezhenova;Broadcast and aggregation in BBC.
Marina Cole;Broadcast and aggregation in BBC.
Klemens Reich;Broadcast and aggregation in BBC.
Domenico Sicignano;On Computational Power of Quantum Read-Once Branching Programs
Marcelo H. Ang Jr.;On Computational Power of Quantum Read-Once Branching Programs
Benedetto Allotta;On Computational Power of Quantum Read-Once Branching Programs
James Patrick Underwood;Abstract interpretation-based approaches to Security - A Survey on Abstract Non-Interference and its Challenging Applications.
Dieter Kranzlmüller;Abstract interpretation-based approaches to Security - A Survey on Abstract Non-Interference and its Challenging Applications.
Arno Pauly;Abstract interpretation-based approaches to Security - A Survey on Abstract Non-Interference and its Challenging Applications.
Daobilige Su;LTLf Synthesis on Probabilistic Systems.
Jens Hilljegerdes;LTLf Synthesis on Probabilistic Systems.
Fan-Tien Cheng;LTLf Synthesis on Probabilistic Systems.
Boyana Norris;Expressing the Behavior of Three Very Different Concurrent Systems by Using Natural Extensions of Separation Logic
Philippe Bonnifait;Expressing the Behavior of Three Very Different Concurrent Systems by Using Natural Extensions of Separation Logic
José Barata;Expressing the Behavior of Three Very Different Concurrent Systems by Using Natural Extensions of Separation Logic
Gundolf Haase;Robust, Expressive, and Quantitative Linear Temporal Logics: Pick any Two for Free.
Thomas Klatzer;Robust, Expressive, and Quantitative Linear Temporal Logics: Pick any Two for Free.
Tudorel Andrei;Robust, Expressive, and Quantitative Linear Temporal Logics: Pick any Two for Free.
Angeliki Topalidou-Kyniazopoulou;Session Type Isomorphisms.
Olufunmilola Oladunni Onolaja;Session Type Isomorphisms.
Zhihua Hu;Session Type Isomorphisms.
Ivan Lanese;Modeling Hierarchical System with Operads.
Jürgen Plesch;Modeling Hierarchical System with Operads.
Peter I. Corke;Modeling Hierarchical System with Operads.
Sanjeev Kumar 0001;Symmetric Monoidal Structure with Local Character is a Property.
Toshio Tsuji;Symmetric Monoidal Structure with Local Character is a Property.
Martin Melik-Merkumians;Symmetric Monoidal Structure with Local Character is a Property.
J. M. Selig;Finite-State Automaton To/From Regular Expression Visualization.
David Droeschel;Finite-State Automaton To/From Regular Expression Visualization.
Patrik Ratheiser;Finite-State Automaton To/From Regular Expression Visualization.
Michael Vande Weghe;Recursive Session Types Revisited.
Craig C. Douglas;Recursive Session Types Revisited.
Jonni Virtema;Recursive Session Types Revisited.
Gaurav Bhatnagar;An Optimal Decision Procedure for MPNL over the Integers
Matthew Spenko;An Optimal Decision Procedure for MPNL over the Integers
Andreas Pichler;An Optimal Decision Procedure for MPNL over the Integers
Ohad Ben-Shahar;Bisimulation of Labeled State-to-Function Transition Systems of Stochastic Process Languages
Craig A. Woolsey;Bisimulation of Labeled State-to-Function Transition Systems of Stochastic Process Languages
Thomas Maly;Bisimulation of Labeled State-to-Function Transition Systems of Stochastic Process Languages
Piotr Skrzypczynski;Flux Analysis in Process Models via Causality
Margrit Gelautz;Flux Analysis in Process Models via Causality
Maurice H. ter Beek;Flux Analysis in Process Models via Causality
Lu Chen;Quantitative Analysis of Probabilistic Models of Software Product Lines with Statistical Model Checking.
Christian Steger;Quantitative Analysis of Probabilistic Models of Software Product Lines with Statistical Model Checking.
Denis Silva da Silveira;Quantitative Analysis of Probabilistic Models of Software Product Lines with Statistical Model Checking.
Peter Palensky;Tool Support for Validation of Formal System Models: Interactive Visualization and Requirements Traceability.
Rami Bahsoon;Tool Support for Validation of Formal System Models: Interactive Visualization and Requirements Traceability.
Jan Ole Stockbrügger;Tool Support for Validation of Formal System Models: Interactive Visualization and Requirements Traceability.
Robert Fitch;Parametric Markov Chains: PCTL Complexity and Fraction-free Gaussian Elimination.
Martin Parapatits;Parametric Markov Chains: PCTL Complexity and Fraction-free Gaussian Elimination.
Nathan O. Collier;Parametric Markov Chains: PCTL Complexity and Fraction-free Gaussian Elimination.
Shuzhi Sam Ge;Improving Dynamic Code Analysis by Code Abstraction.
Evan Patterson;Improving Dynamic Code Analysis by Code Abstraction.
Jorge A. Pérez 0001;Improving Dynamic Code Analysis by Code Abstraction.
Swen Jacobs;Tester versus Bug: A Generic Framework for Model-Based Testing via Games.
Masha Sosonkina;Tester versus Bug: A Generic Framework for Model-Based Testing via Games.
Henning Müller;Tester versus Bug: A Generic Framework for Model-Based Testing via Games.
Andreas Holzinger;The expressive power of modal logic with inclusion atoms.
Martin Horauer;The expressive power of modal logic with inclusion atoms.
Kent Rosser;The expressive power of modal logic with inclusion atoms.
Stefano Gogioso;Towards a Unified Framework for Declarative Structured Communications
Johan Larsson 0001;Towards a Unified Framework for Declarative Structured Communications
Kay Hameyer;Towards a Unified Framework for Declarative Structured Communications
Ariane Oliveira Ferreira;GeoGebra Discovery in Context.
Manfred Kaltenbacher;GeoGebra Discovery in Context.
Wenliang Gao;GeoGebra Discovery in Context.
Darren M. Dawson;Probabilistic Model-Based Safety Analysis
Jovanka Pantovic;Probabilistic Model-Based Safety Analysis
Lothar Fickert;Probabilistic Model-Based Safety Analysis
Georg Stix;Combining predicate transformer semantics for effects: a case study in parsing regular languages.
Klemens Reich;Combining predicate transformer semantics for effects: a case study in parsing regular languages.
Haoqi Zhao;Combining predicate transformer semantics for effects: a case study in parsing regular languages.
Zhihao Wang 0003;The Cohomology of Non-Locality and Contextuality
Kevin Kochersberger;The Cohomology of Non-Locality and Contextuality
David Zarrouk;The Cohomology of Non-Locality and Contextuality
David Ball;Verifying Real-Time Systems using Explicit-time Description Methods
Nathan Cassee;Verifying Real-Time Systems using Explicit-time Description Methods
Julian W. Gardner;Verifying Real-Time Systems using Explicit-time Description Methods
Jeffrey A. Delmerico;Normalization by Evaluation for the Lambek Calculus.
Mourad Moussa;Normalization by Evaluation for the Lambek Calculus.
Robert Rand 0001;Normalization by Evaluation for the Lambek Calculus.
Arno Pauly;Algebraic characterisation of one-way patterns
Pao-Yu Oei;Algebraic characterisation of one-way patterns
Annalisa Milella;Algebraic characterisation of one-way patterns
Thomas Bretterklieber;Guard Your Daggers and Traces: On The Equational Properties of Guarded (Co-)recursion.
Jose Gonzalez-Mora;Guard Your Daggers and Traces: On The Equational Properties of Guarded (Co-)recursion.
Mitch Bryson;Guard Your Daggers and Traces: On The Equational Properties of Guarded (Co-)recursion.
Wen-Hua Chen;Visual Designing and Debugging of Deterministic Finite-State Machines in FSM.
Theresia Perger;Visual Designing and Debugging of Deterministic Finite-State Machines in FSM.
Ronal Muresano;Visual Designing and Debugging of Deterministic Finite-State Machines in FSM.
Shuo Li;Input-output Conformance Testing for Channel-based Service Connectors
Thierry Peynot;Input-output Conformance Testing for Channel-based Service Connectors
Jian Jin;Input-output Conformance Testing for Channel-based Service Connectors
Marina Guihard;Entropy, majorization and thermodynamics in general probabilistic theories.
Brian Bingham;Entropy, majorization and thermodynamics in general probabilistic theories.
Sebastian Zwickl-Bernhard;Entropy, majorization and thermodynamics in general probabilistic theories.
Stephen R. Turnock;Superconnexivity Reconsidered.
Wojciech Bozejko;Superconnexivity Reconsidered.
Taichi Sato;Superconnexivity Reconsidered.
Habibollah Mokhtari;Coend Optics for Quantum Combs.
Clayton Kunz;Coend Optics for Quantum Combs.
Manfred Schimmler;Coend Optics for Quantum Combs.
Tamer Uçar;Dynamic Role Authorization in Multiparty Conversations.
Peter Corke;Dynamic Role Authorization in Multiparty Conversations.
Melvyn L. Smith;Dynamic Role Authorization in Multiparty Conversations.
Salvatore Spinella;Monoidal Structures on Generalized Polynomial Categories.
David A. Sanders;Monoidal Structures on Generalized Polynomial Categories.
Filippo Mantovani;Monoidal Structures on Generalized Polynomial Categories.
Fabio Zanasi;Experience Report: Teaching Code Analysis and Verification Using Frama-C.
Liang Ding 0001;Experience Report: Teaching Code Analysis and Verification Using Frama-C.
Catherine A. Harris;Experience Report: Teaching Code Analysis and Verification Using Frama-C.
Pere Ridao;Transforming Coroutining Logic Programs into Equivalent CHR Programs.
Dieter Kranzlmüller;Transforming Coroutining Logic Programs into Equivalent CHR Programs.
Andrej Stermecki;Transforming Coroutining Logic Programs into Equivalent CHR Programs.
José C. Riquelme;Sublogarithmic uniform Boolean proof nets
Michael Schröder;Sublogarithmic uniform Boolean proof nets
Mathew DeDonato;Sublogarithmic uniform Boolean proof nets
Takumi Matsuda;Finite-state Strategies in Delay Games.
Arkadiusz Szymczak;Finite-state Strategies in Delay Games.
Remo Suppi;Finite-state Strategies in Delay Games.
Narcís Palomeras;Entity-Linking via Graph-Distance Minimization.
Mauricio Ayala-Rincón;Entity-Linking via Graph-Distance Minimization.
Ákos Hajdu;Entity-Linking via Graph-Distance Minimization.
Faten Chaieb;Using the Context of User Feedback in Recommender Systems.
Ulrich Muehlmann;Using the Context of User Feedback in Recommender Systems.
Laura E. Ray;Using the Context of User Feedback in Recommender Systems.
Nikos Manouselis;The C
Divakar Yadav;The C
William Spataro;The C
Dimitri Mavris;Reactive Safety
Leandro Buss Becker;Reactive Safety
Jeongki An;Reactive Safety
Ana Cortés;Amending Choreographies.
J. Michael McCarthy;Amending Choreographies.
Taichi Sato;Amending Choreographies.
Ansar-Ul-Haque Yasar;Combining First-Order Classical and Intuitionistic Logic.
Jordan Brindza;Combining First-Order Classical and Intuitionistic Logic.
Jesse Pentzer;Combining First-Order Classical and Intuitionistic Logic.
Peter Mandl 0002;Query Learning Algorithm for Residual Symbolic Finite Automata.
Helen C. Shen;Query Learning Algorithm for Residual Symbolic Finite Automata.
Ross Duncan;Query Learning Algorithm for Residual Symbolic Finite Automata.
Johann Schütz;Compositional model checking of concurrent systems, with Petri nets.
Emmanuel Tang;Compositional model checking of concurrent systems, with Petri nets.
Seung-Bok Choi;Compositional model checking of concurrent systems, with Petri nets.
Thomas I. Strasser;Linear Exponential Comonads without Symmetry.
Pål Johan From;Linear Exponential Comonads without Symmetry.
S. M. Riad Shams;Linear Exponential Comonads without Symmetry.
Soheil Salahshour;Grounding Game Semantics in Categorical Algebra.
Gunter Winkler;Grounding Game Semantics in Categorical Algebra.
Yunhui Liu 0001;Grounding Game Semantics in Categorical Algebra.
Nicky Penhall;Words-to-Letters Valuations for Language Kleene Algebras with Variable Complements.
Thierry Peynot;Words-to-Letters Valuations for Language Kleene Algebras with Variable Complements.
Hubert Zangl;Words-to-Letters Valuations for Language Kleene Algebras with Variable Complements.
François Pomerleau;Equational Characterization of Covariant-Contravariant Simulation and Conformance Simulation Semantics
Ke Zhang;Equational Characterization of Covariant-Contravariant Simulation and Conformance Simulation Semantics
Fabio Fioravanti;Equational Characterization of Covariant-Contravariant Simulation and Conformance Simulation Semantics
Paul Lukowicz;A Parallel Linear Temporal Logic Tableau.
Miriam Backens;A Parallel Linear Temporal Logic Tableau.
Mike Königs;A Parallel Linear Temporal Logic Tableau.
Melissa D. Jordan;Using session types as an effect system.
Fabio T. Ramos 0001;Using session types as an effect system.
Markus Dielacher;Using session types as an effect system.
David Droeschel;A Compositional Framework for Scientific Model Augmentation.
Maryam Jahanbakhsh;A Compositional Framework for Scientific Model Augmentation.
Tomás Svoboda;A Compositional Framework for Scientific Model Augmentation.
David J. Yoon;Vector Programming Using Structural Recursion.
Jun Zhou 0015;Vector Programming Using Structural Recursion.
John S. Zelek;Vector Programming Using Structural Recursion.
Thomas Meurer;Improved Undecidability Results for Reachability Games on Recursive Timed Automata.
Lionel Lapierre;Improved Undecidability Results for Reachability Games on Recursive Timed Automata.
Brian Kieft;Improved Undecidability Results for Reachability Games on Recursive Timed Automata.
Ronal Muresano;How to Compute Using Quantum Walks.
Guido Sciavicco;How to Compute Using Quantum Walks.
David J. Yoon;How to Compute Using Quantum Walks.
Felipe Polido;Encoding CSP into CCS.
Alonzo Kelly;Encoding CSP into CCS.
Genya Ishigami;Encoding CSP into CCS.
Awf Abdulrahman;Amending Contracts for Choreographies
Aydan M. Erkmen;Amending Contracts for Choreographies
Uwe Schäfer;Amending Contracts for Choreographies
Amir Ebrahimi;A Survey on Product Operators in Abstract Interpretation.
Martin M. Hanczyc;A Survey on Product Operators in Abstract Interpretation.
Jürgen Jasperneite;A Survey on Product Operators in Abstract Interpretation.
Luis Mejías;Infinitary Axiomatization of the Equational Theory of Context-Free Languages.
Ambroise Krebs;Infinitary Axiomatization of the Equational Theory of Context-Free Languages.
Pietro Liò;Infinitary Axiomatization of the Equational Theory of Context-Free Languages.
Jeffrey A. Delmerico;Multiparty Session Actors.
Martin Horauer;Multiparty Session Actors.
Adam Jacoff;Multiparty Session Actors.
Kazuo Tanie;Duality of lattices associated to left and right quotients.
Vassilios D. Tourassis;Duality of lattices associated to left and right quotients.
Ho Seok Ahn;Duality of lattices associated to left and right quotients.
Alistair P. Rendell;Coherent branching feature bisimulation.
Roger Jianxin Jiao;Coherent branching feature bisimulation.
Butler Hine;Coherent branching feature bisimulation.
Khosrow Maleknejad;How to Design While Loops.
Fabien Expert;How to Design While Loops.
Narcís Palomeras;How to Design While Loops.
Wan J. Fokkink;Classical Proofs as Parallel Programs.
Filip Pröstl Andrén;Classical Proofs as Parallel Programs.
Debnath Bhattacharyya;Classical Proofs as Parallel Programs.
Jyh-Jone Lee;Communicating machines as a dynamic binding mechanism of services.
Clayton Kunz;Communicating machines as a dynamic binding mechanism of services.
Zoltán Rácz;Communicating machines as a dynamic binding mechanism of services.
Sharath Chandra Akkaladevi;Towards Symbolic Model-Based Mutation Testing: Combining Reachability and Refinement Checking
Friedrich Fraundorfer;Towards Symbolic Model-Based Mutation Testing: Combining Reachability and Refinement Checking
Sanjiban Choudhury;Towards Symbolic Model-Based Mutation Testing: Combining Reachability and Refinement Checking
Vassil Alexandrov 0001;Categorical Equivalences from State-Effect Adjunctions.
Lian Lian;Categorical Equivalences from State-Effect Adjunctions.
Enric Galceran;Categorical Equivalences from State-Effect Adjunctions.
Nicolas Vandapel;From Specification Models to Explanation Models: An Extraction and Refinement Process for Timed Automata.
Mihai Calin;From Specification Models to Explanation Models: An Extraction and Refinement Process for Timed Automata.
Dominik Fasthuber;From Specification Models to Explanation Models: An Extraction and Refinement Process for Timed Automata.
Ingeborg Grabaak;Multiple verification in computational modeling of bone pathologies
Martin Flatscher;Multiple verification in computational modeling of bone pathologies
Sheng Guo 0001;Multiple verification in computational modeling of bone pathologies
Jana Fabriková;Teaching the Formalization of Mathematical Theories and Algorithms via the Automatic Checking of Finite Models.
Damien Guihen;Teaching the Formalization of Mathematical Theories and Algorithms via the Automatic Checking of Finite Models.
Ben Schellenberg;Teaching the Formalization of Mathematical Theories and Algorithms via the Automatic Checking of Finite Models.
Patrick Ross;Decomposability in Input Output Conformance Testing
Jinwhan Kim;Decomposability in Input Output Conformance Testing
Hyoseop Lee;Decomposability in Input Output Conformance Testing
Larry H. Matthies;Categorical Semantics for Functional Reactive Programming with Temporal Recursion and Corecursion.
Marcin Sieniek;Categorical Semantics for Functional Reactive Programming with Temporal Recursion and Corecursion.
Richard Camilli;Categorical Semantics for Functional Reactive Programming with Temporal Recursion and Corecursion.
Haoqi Zhao;Choreography Synthesis as Contract Agreement.
Louis L. Whitcomb;Choreography Synthesis as Contract Agreement.
Arkadiusz Szymczak;Choreography Synthesis as Contract Agreement.
Jesse Pentzer;Executions in (Semi-)Integer Petri Nets are Compact Closed Categories.
Huichan Zhao;Executions in (Semi-)Integer Petri Nets are Compact Closed Categories.
Darko Brankovic;Executions in (Semi-)Integer Petri Nets are Compact Closed Categories.
Panos Kotsampopoulos;Applications of Linear Defeasible Logic: combining resource consumption and exceptions to energy management and business processes.
José Barata;Applications of Linear Defeasible Logic: combining resource consumption and exceptions to energy management and business processes.
Pedro U. Lima;Applications of Linear Defeasible Logic: combining resource consumption and exceptions to energy management and business processes.
Bernd Deutschmann;MELA: Modelling in Ecology with Location Attributes.
Ion Gh. Rosca;MELA: Modelling in Ecology with Location Attributes.
Tran Xuan Bach Nguyen;MELA: Modelling in Ecology with Location Attributes.
Wolfgang Hribernik;Derivatives of Parsing Expression Grammars.
Kanumalli Satya Sandeep;Derivatives of Parsing Expression Grammars.
Filip Pröstl Andrén;Derivatives of Parsing Expression Grammars.
Miles Pebody;Q# as a Quantum Algorithmic Language.
Christoph Pflaum;Q# as a Quantum Algorithmic Language.
Christophe De Wagter;Q# as a Quantum Algorithmic Language.
Philipp Lottes;Retractable Contracts.
Tomasz Bartynski;Retractable Contracts.
Tommaso Lenzi;Retractable Contracts.
Virendra Kumar Tewari;Who watches the watchers: Validating the ProB Validation Tool.
Sandra Torchiaro;Who watches the watchers: Validating the ProB Validation Tool.
Stefan Baumgart;Who watches the watchers: Validating the ProB Validation Tool.
Enrico Simetti;Comparing Channel Restrictions of Communicating State Machines, High-level Message Sequence Charts, and Multiparty Session Types.
Slavisa Aleksic;Comparing Channel Restrictions of Communicating State Machines, High-level Message Sequence Charts, and Multiparty Session Types.
Nikos Manouselis;Comparing Channel Restrictions of Communicating State Machines, High-level Message Sequence Charts, and Multiparty Session Types.
Gerald Feichtinger;Understanding the Quantum Computational Speed-up via De-quantisation
K. Viereck;Understanding the Quantum Computational Speed-up via De-quantisation
Seth McCammon;Understanding the Quantum Computational Speed-up via De-quantisation
Roberto Solar;Nondeterministic State Complexity of Positional Addition
Johannes Kathan;Nondeterministic State Complexity of Positional Addition
Henrik Andreasson;Nondeterministic State Complexity of Positional Addition
Timothy Yeatman;Generating Safe Autonomous Decision-Making in ROS.
Philippe Giguère;Generating Safe Autonomous Decision-Making in ROS.
Tom Botterill;Generating Safe Autonomous Decision-Making in ROS.
Qixing Xia;Making the Best of Limited Memory in Multi-Player Discounted Sum Games.
Eelco Visser;Making the Best of Limited Memory in Multi-Player Discounted Sum Games.
Ruixiang Du;Making the Best of Limited Memory in Multi-Player Discounted Sum Games.
Florian Steidle;Modular Construction of Shape-Numeric Analyzers.
Giuliana Mattiazzo;Modular Construction of Shape-Numeric Analyzers.
Daniel Kühn;Modular Construction of Shape-Numeric Analyzers.
Ruchao Wang;Wave-Style Token Machines and Quantum Lambda Calculi.
Xilun Ding;Wave-Style Token Machines and Quantum Lambda Calculi.
Karl D. Iagnemma;Wave-Style Token Machines and Quantum Lambda Calculi.
Vincent Rigaud;A Practical View on Renaming.
Korbinian Schmid;A Practical View on Renaming.
David Cano-Tirado;A Practical View on Renaming.
Kazuya Yoshida;Maximizing Social Welfare in Score-Based Social Distance Games.
Roland Siegwart;Maximizing Social Welfare in Score-Based Social Distance Games.
Clément Aubert;Maximizing Social Welfare in Score-Based Social Distance Games.
Onur Misir;Interaction and observation, categorically
Gabriel Gorghiu;Interaction and observation, categorically
Matthias Plasch;Interaction and observation, categorically
Hans Auer;Time-Staging Enhancement of Hybrid System Falsification.
Raphaël Rouveure;Time-Staging Enhancement of Hybrid System Falsification.
Mathew DeDonato;Time-Staging Enhancement of Hybrid System Falsification.
Bill S. Hansson;Innocent strategies as presheaves and interactive equivalences for CCS
Simon Moser;Innocent strategies as presheaves and interactive equivalences for CCS
Georg Weichhart;Innocent strategies as presheaves and interactive equivalences for CCS
Martin Flatscher;Categories of Quantum and Classical Channels (extended abstract).
Maciej Malawski;Categories of Quantum and Classical Channels (extended abstract).
Maurizio Drocco;Categories of Quantum and Classical Channels (extended abstract).
Mark Reynolds 0001;On the Complexity of ATL and ATL* Module Checking.
Michael Schreiber;On the Complexity of ATL and ATL* Module Checking.
Piotr Skrzypczynski;On the Complexity of ATL and ATL* Module Checking.
Seongil Hong;Towards a Digital Highway Code using Formal Modelling and Verification of Timed Automata.
Hiroshi Yadohisa;Towards a Digital Highway Code using Formal Modelling and Verification of Timed Automata.
Sonja Wogrin;Towards a Digital Highway Code using Formal Modelling and Verification of Timed Automata.
David Hyunchul Shim;A Classification of Trapezoidal Words
Qin Zhang 0012;A Classification of Trapezoidal Words
Zhongjin Ju;A Classification of Trapezoidal Words
Ali-akbar Agha-mohammadi;Formalization of Phase Ordering.
Frank W. Ciarallo;Formalization of Phase Ordering.
Clayton Kunz;Formalization of Phase Ordering.
Adrian Francalanza;Soft Session Types
Nicolas Vandapel;Soft Session Types
Simon Pearson;Soft Session Types
Peter Rössler;Autonomization of Monoidal Categories.
Thomas Klatzer;Autonomization of Monoidal Categories.
Jian Jin;Autonomization of Monoidal Categories.
Yoshito Okada;On the Expressive Power of Sub-Propositional Fragments of Modal Logic.
Johannes Schnöller;On the Expressive Power of Sub-Propositional Fragments of Modal Logic.
Junlong Guo;On the Expressive Power of Sub-Propositional Fragments of Modal Logic.
Gerald Holweg;Extending Finite Memory Determinacy to Multiplayer Games.
J. M. Selig;Extending Finite Memory Determinacy to Multiplayer Games.
Naveen Kuppuswamy;Extending Finite Memory Determinacy to Multiplayer Games.
Daniele Dell'Erba;Complexity of validity for propositional dependence logics.
Jack W. Langelaan;Complexity of validity for propositional dependence logics.
Ziqian Zhang;Complexity of validity for propositional dependence logics.
Yurong Guan;Symbolic BDD and ADD Algorithms for Energy Games.
Thomas Herndl;Symbolic BDD and ADD Algorithms for Energy Games.
Thomas Faseth;Symbolic BDD and ADD Algorithms for Energy Games.
Jan Ole Stockbrügger;Representing Strategies.
Marc Florian Meyer;Representing Strategies.
Anna Paszynska;Representing Strategies.
José C. Riquelme;An Acceptance Semantics for Stable Modal Knowledge.
Tim C. Pearce;An Acceptance Semantics for Stable Modal Knowledge.
Gangfeng Liu;An Acceptance Semantics for Stable Modal Knowledge.
David Hyunchul Shim;A Graphical #SAT Algorithm for Formulae with Small Clause Density.
Pedro Crespo Del Granado;A Graphical #SAT Algorithm for Formulae with Small Clause Density.
Markus Vincze;A Graphical #SAT Algorithm for Formulae with Small Clause Density.
William Spataro;A History of BlockingQueues
Tyson Govan Phillips;A History of BlockingQueues
Christopher Brunskill;A History of BlockingQueues
Jan Faigl;Gluing together Proof Environments: Canonical extensions of LF Type Theories featuring Locks.
Paul D. Hovland;Gluing together Proof Environments: Canonical extensions of LF Type Theories featuring Locks.
Steen Rasmussen;Gluing together Proof Environments: Canonical extensions of LF Type Theories featuring Locks.
Caroline Essert;Exploiting Hierarchy in the Abstraction-Based Verification of Statecharts Using SMT Solvers.
Florian Klück;Exploiting Hierarchy in the Abstraction-Based Verification of Statecharts Using SMT Solvers.
Alessandro De Luca 0001;Exploiting Hierarchy in the Abstraction-Based Verification of Statecharts Using SMT Solvers.
Harald Neudorfer;Logical pre- and post-selection paradoxes are proofs of contextuality.
Gamini Dissanayake;Logical pre- and post-selection paradoxes are proofs of contextuality.
Michael A. Gennert;Logical pre- and post-selection paradoxes are proofs of contextuality.
Paul Timothy Furgale;Tracing monadic computations and representing effects
Michael Smart;Tracing monadic computations and representing effects
Hongtao Wu;Tracing monadic computations and representing effects
Pawel Gepner;Using Model Checking to Generate Test Cases for Android Applications.
Matthew E. Antone;Using Model Checking to Generate Test Cases for Android Applications.
Philipp Oettershagen;Using Model Checking to Generate Test Cases for Android Applications.
Bruno Siciliano;Type Inference for Deadlock Detection in a Multithreaded Polymorphic Typed Assembly Language
Martin Horn;Type Inference for Deadlock Detection in a Multithreaded Polymorphic Typed Assembly Language
Domenico Sicignano;Type Inference for Deadlock Detection in a Multithreaded Polymorphic Typed Assembly Language
Bartosz Balis;ReQWIRE: Reasoning about Reversible Quantum Circuits.
Martin M. Hanczyc;ReQWIRE: Reasoning about Reversible Quantum Circuits.
Robert Könighofer;ReQWIRE: Reasoning about Reversible Quantum Circuits.
Max Bajracharya;Extended Graded Modalities in Strategy Logic.
Gunter Winkler;Extended Graded Modalities in Strategy Logic.
Farzam Ranjbaran;Extended Graded Modalities in Strategy Logic.
